iter	Passed	Remaining
837	34598	6688
838	34636	6646
839	34675	6604
840	34714	6563
841	34753	6521
842	34794	6480
843	34834	6438
844	34872	6396
845	34910	6354
846	34952	6313
847	34991	6271
848	35029	6230
849	35068	6188
850	35108	6147
851	35146	6105
852	35183	6063
853	35222	6021
854	35266	5980
855	35313	5940
856	35353	5899
857	35393	5857
858	35431	5815
859	35473	5774
860	35513	5733
861	35551	5691
862	35590	5649
863	35632	5608
864	35670	5567
865	35710	5525
866	35748	5483
867	35788	5442
868	35832	5401
869	35872	5360
870	35913	5319
871	35955	5277
872	35996	5236
873	36035	5195
874	36072	5153
875	36109	5111
876	36148	5069
877	36184	5027
878	36220	4986
879	36255	4943
880	36298	4902
881	36336	4861
882	36379	4820
883	36422	4779
884	36464	4738
885	36505	4697
886	36548	4656
887	36589	4614
888	36633	4573
889	36674	4532
890	36714	4491
891	36758	4450
892	36801	4409
893	36843	4368
894	36883	4327
895	36923	4285
896	36964	4244
897	37003	4203
898	37043	4161
899	37083	4120
900	37117	4078
901	37156	4036
902	37195	3995
903	37236	3954
904	37276	3913
905	37314	3871
906	37355	3830
907	37394	3788
908	37432	3747
909	37474	3706
910	37513	3664
911	37553	3623
912	37591	3582
913	37632	3540
914	37668	3499
915	37710	3458
916	37749	3416
917	37792	3375
918	37831	3334
919	37869	3292
920	37907	3251
921	37948	3210
922	37986	3168
923	38021	3127
924	38061	3086
925	38100	3044
926	38139	3003
927	38179	2962
928	38219	2921
929	38261	2879
930	38304	2838
931	38346	2797
932	38384	2756
933	38428	2715
934	38467	2674
935	38504	2632
936	38543	2591
937	38582	2550
938	38622	2509
939	38660	2467
940	38700	2426
941	38736	2385
942	38774	2343
943	38814	2302
944	38853	2261
945	38891	2220
946	38931	2178
947	38971	2137
948	39011	2096
949	39050	2055
950	39086	2013
951	39124	1972
952	39164	1931
953	39203	1890
954	39241	1849
955	39281	1807
956	39321	1766
957	39362	1725
958	39401	1684
959	39440	1643
960	39478	1602
961	39517	1560
962	39556	1519
963	39596	1478
964	39636	1437
965	39680	1396
966	39723	1355
967	39760	1314
968	39802	1273
969	39845	1232
970	39895	1191
971	39936	1150
972	39978	1109
973	40016	1068
974	40057	1027
975	40098	986
976	40137	944
977	40182	903
978	40227	862
979	40268	821
980	40308	780
981	40344	739
982	40384	698
983	40434	657
984	40475	616
985	40513	575
986	40557	534
987	40602	493
988	40647	452
989	40688	410
990	40729	369
991	40770	328
992	40811	287
993	40853	246
994	40894	205
995	40938	164
996	40979	123
997	41020	82
998	41061	41
999	41103	0
